,state,county,poverty_percent_15,median_household_income_15
228,CA,San Bernardino County,18.9,"53,526"
229,CA,San Diego County,13.9,"67,053"
230,CA,San Francisco County,12.4,"90,527"
231,CA,San Joaquin County,17.5,"53,341"
232,CA,San Luis Obispo County,14.4,"61,761"
233,CA,San Mateo County,8.4,"101,133"
234,CA,Santa Barbara County,15.6,"63,049"
235,CA,Santa Clara County,8.3,"102,191"
236,CA,Santa Cruz County,15.4,"64,841"
237,CA,Shasta County,19.0,"45,943"
238,CA,Sierra County,13.8,"47,535"
239,CA,Siskiyou County,22.6,"37,447"
240,CA,Solano County,12.0,"67,202"
241,CA,Sonoma County,11.0,"66,463"
242,CA,Stanislaus County,19.5,"51,949"
243,CA,Sutter County,17.5,"50,810"
244,CA,Tehama County,22.5,"40,292"
245,CA,Trinity County,19.7,"37,669"
246,CA,Tulare County,27.2,"42,637"
247,CA,Tuolumne County,14.5,"53,136"
248,CA,Ventura County,9.9,"79,285"
249,CA,Yolo County,17.5,"58,766"
250,CA,Yuba County,21.6,"46,500"
251,CO,Colorado,11.5,"63,945"
252,CO,Adams County,12.8,"62,991"
253,CO,Alamosa County,24.0,"40,067"
254,CO,Arapahoe County,9.2,"67,062"
255,CO,Archuleta County,13.1,"50,361"
256,CO,Baca County,20.8,"35,405"
257,CO,Bent County,36.7,"36,630"
258,CO,Boulder County,12.3,"72,392"
259,CO,Broomfield County,4.9,"86,548"
260,CO,Chaffee County,11.7,"50,947"
261,CO,Cheyenne County,11.7,"50,620"
262,CO,Clear Creek County,9.6,"67,262"
263,CO,Conejos County,20.2,"37,102"
264,CO,Costilla County,28.2,"27,944"
265,CO,Crowley County,44.3,"35,405"
266,CO,Custer County,15.1,"43,995"
267,CO,Delta County,15.8,"42,586"
268,CO,Denver County,15.7,"57,886"
269,CO,Dolores County,14.9,"44,829"
270,CO,Douglas County,3.4,"109,926"
271,CO,Eagle County,7.6,"75,191"
272,CO,Elbert County,5.9,"90,270"
273,CO,El Paso County,11.0,"60,050"
274,CO,Fremont County,17.2,"41,967"
275,CO,Garfield County,10.3,"64,487"
276,CO,Gilpin County,8.0,"67,389"
277,CO,Grand County,8.3,"59,885"
278,CO,Gunnison County,12.5,"47,619"
279,CO,Hinsdale County,10.9,"58,613"
280,CO,Huerfano County,23.2,"33,098"
281,CO,Jackson County,13.9,"46,905"
282,CO,Jefferson County,7.9,"71,209"
283,CO,Kiowa County,13.9,"42,108"
284,CO,Kit Carson County,12.2,"44,090"
285,CO,Lake County,15.7,"45,913"
286,CO,La Plata County,9.4,"60,732"
287,CO,Larimer County,12.2,"64,935"
288,CO,Las Animas County,19.3,"38,858"
289,CO,Lincoln County,19.4,"43,188"
290,CO,Logan County,15.5,"46,306"
291,CO,Mesa County,14.1,"51,449"
292,CO,Mineral County,9.4,"50,481"
293,CO,Moffat County,11.7,"59,173"
294,CO,Montezuma County,19.3,"42,975"
295,CO,Montrose County,17.7,"46,860"
296,CO,Morgan County,12.1,"49,087"
297,CO,Otero County,20.6,"34,970"
298,CO,Ouray County,9.4,"60,402"
299,CO,Park County,9.2,"63,319"
300,CO,Phillips County,11.1,"48,562"
301,CO,Pitkin County,7.0,"76,663"
302,CO,Prowers County,19.6,"41,348"
303,CO,Pueblo County,19.8,"40,540"
304,CO,Rio Blanco County,9.7,"61,426"
305,CO,Rio Grande County,17.2,"40,259"
306,CO,Routt County,8.9,"70,989"
307,CO,Saguache County,29.6,"34,209"
308,CO,San Juan County,15.6,"43,489"
309,CO,San Miguel County,11.0,"62,793"
310,CO,Sedgwick County,13.6,"40,325"
311,CO,Summit County,8.7,"69,633"
312,CO,Teller County,8.8,"66,191"
313,CO,Washington County,11.4,"47,592"
314,CO,Weld County,11.3,"69,434"
315,CO,Yuma County,14.1,"48,934"
316,CT,Connecticut,10.6,"71,333"
317,CT,Fairfield County,9.0,"86,297"
318,CT,Hartford County,11.1,"69,260"
319,CT,Litchfield County,7.4,"70,847"
320,CT,Middlesex County,6.7,"82,878"
321,CT,New Haven County,13.6,"61,758"
322,CT,New London County,11.1,"65,602"
323,CT,Tolland County,7.1,"81,616"
324,CT,Windham County,10.9,"61,303"
325,DE,Delaware,12.6,"61,327"
326,DE,Kent County,14.2,"55,678"
327,DE,New Castle County,12.1,"66,179"
328,DE,Sussex County,12.3,"54,309"
329,DC,District of Columbia,17.7,"73,115"
330,DC,District of Columbia,17.7,"73,115"
331,FL,Florida,15.8,"49,416"
332,FL,Alachua County,21.1,"47,023"
333,FL,Baker County,16.8,"50,883"
334,FL,Bay County,16.5,"47,745"
335,FL,Bradford County,21.3,"40,879"
336,FL,Brevard County,13.4,"50,352"
337,FL,Broward County,14.0,"53,624"
338,FL,Calhoun County,22.2,"36,062"
339,FL,Charlotte County,12.4,"45,495"
340,FL,Citrus County,17.5,"39,982"
341,FL,Clay County,11.6,"59,244"
342,FL,Collier County,13.6,"62,385"
343,FL,Columbia County,19.7,"43,303"
344,FL,DeSoto County,30.5,"34,380"
345,FL,Dixie County,29.3,"35,749"
346,FL,Duval County,16.0,"49,565"
347,FL,Escambia County,15.4,"45,735"
348,FL,Flagler County,11.7,"50,347"
349,FL,Franklin County,23.7,"38,220"
350,FL,Gadsden County,24.5,"36,637"
351,FL,Gilchrist County,19.2,"39,342"
352,FL,Glades County,22.1,"40,215"
353,FL,Gulf County,21.9,"41,320"
354,FL,Hamilton County,31.8,"33,497"
355,FL,Hardee County,25.9,"35,850"
356,FL,Hendry County,25.8,"39,320"
357,FL,Hernando County,14.3,"43,103"
358,FL,Highlands County,22.9,"34,691"
359,FL,Hillsborough County,15.8,"51,710"
360,FL,Holmes County,25.9,"35,202"
361,FL,Indian River County,13.0,"49,887"
362,FL,Jackson County,22.5,"36,751"
