,LocationDesc,LocationAbbr,Sample_Size,Latitude,Longitude,Data_Value
49,Hawaii,HI,6905.0,21.30485043500045,-157.85774940299973,22.1
50,Idaho,ID,5739.0,43.682630005000476,-114.3637300419997,27.0
51,Idaho,ID,5578.0,43.682630005000476,-114.3637300419997,26.8
52,Idaho,ID,5315.0,43.682630005000476,-114.3637300419997,29.6
53,Idaho,ID,5125.0,43.682630005000476,-114.3637300419997,28.9
54,Illinois,IL,5355.0,40.48501028300046,-88.99771017799969,27.1
55,Illinois,IL,5452.0,40.48501028300046,-88.99771017799969,28.1
56,Illinois,IL,5490.0,40.48501028300046,-88.99771017799969,29.4
57,Illinois,IL,4835.0,40.48501028300046,-88.99771017799969,29.3
58,Indiana,IN,8048.0,39.76691045200045,-86.14996019399969,30.8
59,Indiana,IN,8225.0,39.76691045200045,-86.14996019399969,31.4
60,Indiana,IN,9770.0,39.76691045200045,-86.14996019399969,31.8
61,Indiana,IN,10773.0,39.76691045200045,-86.14996019399969,32.7
62,Iowa,IA,6898.0,42.46940091300047,-93.81649055599968,29.0
63,Iowa,IA,6769.0,42.46940091300047,-93.81649055599968,30.4
64,Iowa,IA,7672.0,42.46940091300047,-93.81649055599968,31.3
65,Iowa,IA,7572.0,42.46940091300047,-93.81649055599968,30.9
66,Kansas,KS,19619.0,38.34774030000045,-98.20078122699965,29.6
67,Kansas,KS,11238.0,38.34774030000045,-98.20078122699965,29.8
68,Kansas,KS,21991.0,38.34774030000045,-98.20078122699965,30.0
69,Kansas,KS,12825.0,38.34774030000045,-98.20078122699965,31.3
70,Kentucky,KY,10114.0,37.64597027100047,-84.77497104799966,30.4
71,Kentucky,KY,10570.0,37.64597027100047,-84.77497104799966,31.3
72,Kentucky,KY,10325.0,37.64597027100047,-84.77497104799966,33.2
73,Kentucky,KY,10442.0,37.64597027100047,-84.77497104799966,31.6
74,Louisiana,LA,10404.0,31.31266064400046,-92.44568007099969,33.4
75,Louisiana,LA,8656.0,31.31266064400046,-92.44568007099969,34.7
76,Louisiana,LA,5014.0,31.31266064400046,-92.44568007099969,33.1
77,Louisiana,LA,6366.0,31.31266064400046,-92.44568007099969,34.9
78,Maine,ME,12643.0,45.254228894000505,-68.98503133599961,27.8
79,Maine,ME,9512.0,45.254228894000505,-68.98503133599961,28.3
80,Maine,ME,7791.0,45.254228894000505,-68.98503133599961,28.9
81,Maine,ME,8705.0,45.254228894000505,-68.98503133599961,28.2
82,Maryland,MD,9450.0,39.29058096400047,-76.60926011099963,28.3
83,Maryland,MD,11947.0,39.29058096400047,-76.60926011099963,27.6
84,Maryland,MD,12169.0,39.29058096400047,-76.60926011099963,28.3
85,Maryland,MD,11713.0,39.29058096400047,-76.60926011099963,29.6
86,Massachusetts,MA,20532.0,42.27687047000046,-72.08269067499964,22.7
87,Massachusetts,MA,19904.0,42.27687047000046,-72.08269067499964,22.9
88,Massachusetts,MA,13883.0,42.27687047000046,-72.08269067499964,23.6
