STATE NAME,WHEN PRBLMS WORST FELT SAD/EMPTY/DPRSD EVERY DAY,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count SE
LOUISIANA,1 - Yes,0.002,0.0001,0.001,0.002,0.013,0.0013,0.011,0.016,0.108,0.0098,0.09,0.129,413000,40000
TENNESSEE,94 - DON T KNOW,0,0,0,0,0.003,0.0028,0,0.02,0,0.0001,0,0.001,0,0
ALABAMA,1 - Yes,0.002,0.0002,0.001,0.002,0.015,0.0013,0.012,0.017,0.112,0.0081,0.098,0.129,458000,42000
ALABAMA,2 - No,0,0.0001,0,0.001,0.015,0.0023,0.011,0.02,0.03,0.0047,0.022,0.041,121000,19000
MISSOURI,94 - DON T KNOW,0,0,0,0,0.036,0.0354,0.005,0.216,0.001,0.0011,0,0.008,6000,6000
ARIZONA,2 - No,0.001,0.0001,0,0.001,0.019,0.0042,0.012,0.029,0.027,0.0063,0.017,0.042,155000,36000
NEW YORK,Overall,0.062,0.0015,0.059,0.065,0.062,0.0015,0.059,0.065,1,0,N/A,N/A,16804000,408000
DELAWARE,1 - Yes,0,0,0,0,0.003,0.0003,0.002,0.004,0.119,0.0122,0.097,0.145,96000,10000
TEXAS,Overall,0.084,0.002,0.08,0.088,0.084,0.002,0.08,0.088,1,0,N/A,N/A,22701000,581000
WEST VIRGINIA,1 - Yes,0.001,0.0001,0.001,0.001,0.007,0.0007,0.006,0.008,0.137,0.0145,0.111,0.168,212000,21000
WYOMING,1 - Yes,0,0,0,0,0.002,0.0002,0.001,0.002,0.112,0.0097,0.095,0.133,54000,5000
HAWAII,1 - Yes,0,0.0001,0,0.001,0.003,0.0004,0.003,0.004,0.092,0.0112,0.072,0.117,107000,14000
MONTANA,94 - DON T KNOW,0,0,0,0,0.009,0.0087,0.001,0.06,0.001,0.0015,0,0.011,1000,1000
SOUTH CAROLINA,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MASSACHUSETTS,99 - LEGITIMATE SKIP,0.018,0.0008,0.016,0.019,0.021,0.001,0.019,0.023,0.812,0.015,0.781,0.84,4774000,222000
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,270767000,1660000
NEVADA,99 - LEGITIMATE SKIP,0.008,0.0003,0.007,0.008,0.009,0.0004,0.008,0.01,0.848,0.0144,0.818,0.874,2100000,93000
NEW MEXICO,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MONTANA,98 - BLANK,0,0,0,0,0.002,0.0006,0.001,0.003,0.004,0.0014,0.002,0.008,3000,1000
CALIFORNIA,2 - No,0.004,0.0003,0.003,0.004,0.122,0.0099,0.104,0.143,0.031,0.0026,0.026,0.036,1013000,90000
UTAH,98 - BLANK,0,0,0,0,0.005,0.0023,0.002,0.012,0.004,0.0019,0.002,0.01,10000,5000
OHIO,2 - No,0.001,0.0001,0.001,0.001,0.035,0.0036,0.029,0.043,0.03,0.0032,0.024,0.037,290000,30000
PENNSYLVANIA,99 - LEGITIMATE SKIP,0.034,0.0009,0.033,0.036,0.041,0.0011,0.039,0.043,0.858,0.0066,0.845,0.871,9318000,261000
ARIZONA,1 - Yes,0.002,0.0003,0.002,0.003,0.02,0.0022,0.016,0.025,0.11,0.0106,0.091,0.133,639000,72000
NEBRASKA,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
TENNESSEE,98 - BLANK,0,0,0,0,0.007,0.003,0.003,0.016,0.003,0.0011,0.001,0.006,14000,6000
MARYLAND,1 - Yes,0.003,0.0002,0.002,0.003,0.022,0.002,0.018,0.026,0.137,0.0116,0.116,0.162,693000,65000
MISSISSIPPI,99 - LEGITIMATE SKIP,0.008,0.0004,0.007,0.009,0.009,0.0004,0.009,0.01,0.877,0.0106,0.855,0.897,2148000,98000
MAINE,98 - BLANK,0,0,0,0,0.003,0.0013,0.001,0.007,0.005,0.0022,0.002,0.012,6000,3000
COLORADO,1 - Yes,0.003,0.0002,0.002,0.003,0.022,0.0021,0.018,0.027,0.15,0.0145,0.124,0.181,697000,66000
CONNECTICUT,2 - No,0,0.0001,0,0,0.011,0.002,0.007,0.015,0.029,0.0051,0.02,0.041,88000,16000
NEW MEXICO,2 - No,0,0,0,0,0.005,0.0006,0.004,0.006,0.023,0.0031,0.017,0.03,39000,5000
OREGON,99 - LEGITIMATE SKIP,0.01,0.0004,0.009,0.011,0.012,0.0005,0.011,0.013,0.792,0.0129,0.766,0.817,2775000,115000
INDIANA,1 - Yes,0.003,0.0002,0.002,0.003,0.025,0.0019,0.021,0.029,0.141,0.0104,0.122,0.163,780000,61000
MAINE,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
INDIANA,2 - No,0.001,0.0001,0,0.001,0.021,0.0037,0.014,0.029,0.031,0.0055,0.022,0.044,171000,31000
NEBRASKA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
UTAH,2 - No,0,0,0,0.001,0.013,0.0016,0.01,0.016,0.044,0.0054,0.034,0.056,106000,14000
Overall,1 - Yes,0.116,0.0014,0.114,0.119,1,0,N/A,N/A,0.116,0.0014,0.114,0.119,31478000,428000
SOUTH CAROLINA,97 - REFUSED,0,0,0,0,0.016,0.0162,0.002,0.111,0,0.0002,0,0.002,1000,1000
NEW HAMPSHIRE,97 - REFUSED,0,0,0,0,0.007,0.0056,0.002,0.033,0,0.0002,0,0.001,0,0
VIRGINIA,99 - LEGITIMATE SKIP,0.022,0.0008,0.02,0.023,0.026,0.0009,0.024,0.028,0.845,0.009,0.826,0.862,5909000,209000
TEXAS,99 - LEGITIMATE SKIP,0.074,0.0018,0.07,0.077,0.087,0.0021,0.083,0.092,0.881,0.0052,0.87,0.891,19997000,517000
MARYLAND,2 - No,0,0.0001,0,0.001,0.014,0.0034,0.008,0.022,0.023,0.0053,0.014,0.036,114000,29000
MASSACHUSETTS,98 - BLANK,0,0.0001,0,0.001,0.037,0.0176,0.014,0.092,0.012,0.006,0.005,0.032,73000,36000
OHIO,Overall,0.036,0.0008,0.034,0.038,0.036,0.0008,0.034,0.038,1,0,N/A,N/A,9760000,227000
CONNECTICUT,94 - DON T KNOW,0,0,0,0,0.012,0.0124,0.002,0.084,0.001,0.0006,0,0.004,2000,2000
NORTH DAKOTA,Overall,0.002,0.0001,0.002,0.003,0.002,0.0001,0.002,0.003,1,0,N/A,N/A,616000,29000
IDAHO,99 - LEGITIMATE SKIP,0.004,0.0002,0.004,0.004,0.005,0.0002,0.004,0.005,0.79,0.011,0.767,0.811,1097000,43000
COLORADO,98 - BLANK,0,0,0,0,0.007,0.0029,0.003,0.015,0.003,0.0012,0.001,0.007,13000,6000
KENTUCKY,1 - Yes,0.002,0.0002,0.001,0.002,0.015,0.0015,0.012,0.018,0.128,0.0118,0.107,0.153,474000,48000
COLORADO,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
DISTRICT OF COLUMBIA,2 - No,0,0,0,0,0.003,0.0007,0.002,0.005,0.049,0.009,0.034,0.07,29000,6000
VIRGINIA,2 - No,0.001,0.0001,0.001,0.001,0.026,0.0038,0.02,0.034,0.031,0.0042,0.024,0.04,216000,32000
IDAHO,98 - BLANK,0,0,0,0,0.003,0.0015,0.001,0.008,0.004,0.0021,0.001,0.011,6000,3000
ARKANSAS,1 - Yes,0.001,0.0001,0.001,0.001,0.01,0.0008,0.008,0.011,0.122,0.0105,0.103,0.144,301000,26000
CALIFORNIA,1 - Yes,0.013,0.0007,0.012,0.015,0.113,0.0054,0.103,0.124,0.108,0.0047,0.099,0.118,3561000,183000
UTAH,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
WYOMING,94 - DON T KNOW,0,0,0,0,0.002,0.0021,0,0.015,0.001,0.0006,0,0.005,0,0
ALASKA,1 - Yes,0,0,0,0,0.003,0.0002,0.002,0.003,0.152,0.0127,0.129,0.179,89000,7000
FLORIDA,98 - BLANK,0.001,0.0001,0,0.001,0.072,0.0158,0.046,0.109,0.008,0.0019,0.005,0.013,142000,33000
DISTRICT OF COLUMBIA,99 - LEGITIMATE SKIP,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.773,0.0119,0.748,0.795,453000,20000
MICHIGAN,2 - No,0.001,0.0001,0.001,0.001,0.031,0.0033,0.026,0.039,0.031,0.0032,0.025,0.038,261000,27000
OREGON,98 - BLANK,0,0,0,0,0.009,0.0034,0.004,0.019,0.005,0.0019,0.002,0.01,17000,7000
MARYLAND,99 - LEGITIMATE SKIP,0.016,0.0006,0.014,0.017,0.018,0.0007,0.017,0.02,0.837,0.0125,0.811,0.86,4223000,169000
SOUTH CAROLINA,2 - No,0,0.0001,0,0.001,0.015,0.0031,0.01,0.022,0.029,0.0059,0.019,0.043,121000,26000
DISTRICT OF COLUMBIA,98 - BLANK,0,0,0,0,0.002,0.0009,0.001,0.005,0.008,0.0031,0.004,0.017,5000,2000
NORTH CAROLINA,99 - LEGITIMATE SKIP,0.026,0.0009,0.025,0.028,0.031,0.001,0.029,0.033,0.845,0.0099,0.824,0.863,7173000,241000
MISSOURI,2 - No,0.001,0.0001,0.001,0.001,0.027,0.0043,0.019,0.037,0.043,0.0068,0.032,0.059,221000,37000
VERMONT,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
IDAHO,2 - No,0,0,0,0,0.008,0.0012,0.006,0.011,0.05,0.007,0.038,0.066,69000,10000
ARIZONA,94 - DON T KNOW,0,0,0,0,0.02,0.0203,0.003,0.133,0.001,0.0005,0,0.004,3000,3000
NORTH CAROLINA,98 - BLANK,0,0.0001,0,0,0.031,0.0101,0.016,0.059,0.007,0.0024,0.004,0.014,62000,20000
FLORIDA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
ILLINOIS,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
NEVADA,98 - BLANK,0,0.0001,0,0,0.017,0.0068,0.008,0.037,0.014,0.0054,0.006,0.029,34000,14000
MONTANA,99 - LEGITIMATE SKIP,0.003,0.0001,0.002,0.003,0.003,0.0001,0.003,0.003,0.82,0.0103,0.799,0.84,720000,29000
INDIANA,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MICHIGAN,1 - Yes,0.004,0.0002,0.003,0.004,0.032,0.0018,0.029,0.036,0.119,0.0063,0.107,0.132,1005000,56000
UTAH,94 - DON T KNOW,0,0,0,0,0.011,0.0108,0.001,0.074,0.001,0.0007,0,0.005,2000,2000
SOUTH DAKOTA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MINNESOTA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MINNESOTA,99 - LEGITIMATE SKIP,0.014,0.0006,0.013,0.015,0.017,0.0007,0.015,0.018,0.821,0.0131,0.794,0.845,3801000,173000
NEW MEXICO,1 - Yes,0.001,0.0001,0.001,0.001,0.007,0.0005,0.006,0.008,0.122,0.0086,0.106,0.14,210000,17000
NEW MEXICO,98 - BLANK,0,0,0,0,0.012,0.0042,0.006,0.024,0.013,0.0049,0.007,0.027,23000,8000
